01|003|050| 3|   |Szabó                                             |Tímea                                   |0000046| 1|LEHET MÁS A POLITIKA                                        
01|003|051| 1|   |Menczer                                           |Erzsébet                                |0000210| 2|FIDESZ,KDNP                                                 
01|003|051| 2|Dr.|Orosz                                             |Sándor                                  |0000133| 1|MSZP                                                        
01|003|051| 3|   |Szabó                                             |Tímea                                   |0000062| 1|LEHET MÁS A POLITIKA                                        
01|003|052| 1|   |Menczer                                           |Erzsébet                                |0000225| 2|FIDESZ,KDNP                                                 
01|003|052| 2|Dr.|Orosz                                             |Sándor                                  |0000099| 1|MSZP                                                        
01|003|052| 3|   |Szabó                                             |Tímea                                   |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|053| 1|   |Menczer                                           |Erzsébet                                |0000183| 2|FIDESZ,KDNP                                                 
01|003|053| 2|Dr.|Orosz                                             |Sándor                                  |0000084| 1|MSZP                                                        
01|003|053| 3|   |Szabó                                             |Tímea                                   |0000025| 1|LEHET MÁS A POLITIKA                                        
01|003|054| 1|   |Menczer                                           |Erzsébet                                |0000294| 2|FIDESZ,KDNP                                                 
01|003|054| 2|Dr.|Orosz                                             |Sándor                                  |0000184| 1|MSZP                                                        
01|003|054| 3|   |Szabó                                             |Tímea                                   |0000037| 1|LEHET MÁS A POLITIKA                                        
01|003|055| 1|   |Menczer                                           |Erzsébet                                |0000302| 2|FIDESZ,KDNP                                                 
01|003|055| 2|Dr.|Orosz                                             |Sándor                                  |0000136| 1|MSZP                                                        
01|003|055| 3|   |Szabó                                             |Tímea                                   |0000035| 1|LEHET MÁS A POLITIKA                                        
01|003|056| 1|   |Menczer                                           |Erzsébet                                |0000332| 2|FIDESZ,KDNP                                                 
01|003|056| 2|Dr.|Orosz                                             |Sándor                                  |0000155| 1|MSZP                                                        
01|003|056| 3|   |Szabó                                             |Tímea                                   |0000049| 1|LEHET MÁS A POLITIKA                                        
01|003|057| 1|   |Bús                                               |Balázs                                  |0000318| 2|FIDESZ,KDNP                                                 
01|003|057| 2|   |Kiss                                              |László                                  |0000128| 1|MSZP                                                        
01|003|057| 3|   |Quickert                                          |Liliána Diána                           |0000053| 1|LEHET MÁS A POLITIKA                                        
01|003|058| 1|   |Bús                                               |Balázs                                  |0000285| 2|FIDESZ,KDNP                                                 
01|003|058| 2|   |Kiss                                              |László                                  |0000089| 1|MSZP                                                        
01|003|058| 3|   |Quickert                                          |Liliána Diána                           |0000048| 1|LEHET MÁS A POLITIKA                                        
01|003|059| 1|   |Bús                                               |Balázs                                  |0000202| 2|FIDESZ,KDNP                                                 
01|003|059| 2|   |Kiss                                              |László                                  |0000125| 1|MSZP                                                        
01|003|059| 3|   |Quickert                                          |Liliána Diána                           |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|060| 1|   |Bús                                               |Balázs                                  |0000281| 2|FIDESZ,KDNP                                                 
01|003|060| 2|   |Kiss                                              |László                                  |0000102| 1|MSZP                                                        
01|003|060| 3|   |Quickert                                          |Liliána Diána                           |0000050| 1|LEHET MÁS A POLITIKA                                        
01|003|061| 1|   |Bús                                               |Balázs                                  |0000349| 2|FIDESZ,KDNP                                                 
01|003|061| 2|   |Kiss                                              |László                                  |0000114| 1|MSZP                                                        
01|003|061| 3|   |Quickert                                          |Liliána Diána                           |0000052| 1|LEHET MÁS A POLITIKA                                        
01|003|062| 1|   |Bús                                               |Balázs                                  |0000324| 2|FIDESZ,KDNP                                                 
01|003|062| 2|   |Kiss                                              |László                                  |0000077| 1|MSZP                                                        
01|003|062| 3|   |Quickert                                          |Liliána Diána                           |0000056| 1|LEHET MÁS A POLITIKA                                        
01|003|063| 1|   |Bús                                               |Balázs                                  |0000369| 2|FIDESZ,KDNP                                                 
01|003|063| 2|   |Kiss                                              |László                                  |0000089| 1|MSZP                                                        
01|003|063| 3|   |Quickert                                          |Liliána Diána                           |0000050| 1|LEHET MÁS A POLITIKA                                        
01|003|064| 1|   |Bús                                               |Balázs                                  |0000267| 2|FIDESZ,KDNP                                                 
01|003|064| 2|   |Kiss                                              |László                                  |0000092| 1|MSZP                                                        
01|003|064| 3|   |Quickert                                          |Liliána Diána                           |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|065| 1|   |Bús                                               |Balázs                                  |0000282| 2|FIDESZ,KDNP                                                 
01|003|065| 2|   |Kiss                                              |László                                  |0000072| 1|MSZP                                                        
01|003|065| 3|   |Quickert                                          |Liliána Diána                           |0000054| 1|LEHET MÁS A POLITIKA                                        
01|003|066| 1|   |Bús                                               |Balázs                                  |0000251| 2|FIDESZ,KDNP                                                 
