02|234|4|Kompenzációs lista            |  3|JOBBIK                        |  0|  0|
02|234|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
02|234|4|Kompenzációs lista            |  5|Siklósért Egyesület           |  1|  0|
02|263|4|Kompenzációs lista            |  1|MSZP                          |  1|  0|
02|263|4|Kompenzációs lista            |  2|JOBBIK                        |  0|  0|
02|263|4|Kompenzációs lista            |  3|CIVIL MOZGALOM                |  0|  0|
02|263|4|Kompenzációs lista            |  4|Munkáspárt 2006               |  0|  0|
02|263|4|Kompenzációs lista            |  5|FIDESZ-KDNP                   |  1|  0|
02|263|4|Kompenzációs lista            |  6|Szigetvári Emberekért         |  1|  0|
03|004|4|Kompenzációs lista            |  1|FIDESZ                        |  0|  0|
03|004|4|Kompenzációs lista            |  2|JOBBIK                        |  1|  0|
03|004|4|Kompenzációs lista            |  3|CM MSZP SZEMA-ÖSSZEFOGÁS 2010 |  3|  0|
03|056|4|Kompenzációs lista            |  1|LMP                           |  0|  0|
03|056|4|Kompenzációs lista            |  2|FIDESZ                        |  0|  0|
03|056|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
03|056|4|Kompenzációs lista            |  4|KSZPE                         |  2|  0|
03|060|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
03|060|4|Kompenzációs lista            |  2|MSZP                          |  4|  0|
03|060|4|Kompenzációs lista            |  3|LMP                           |  2|  0|
03|064|4|Kompenzációs lista            |  1|FIDESZ                        |  0|  0|
03|064|4|Kompenzációs lista            |  2|Kiskőrösi Szlovákok Szervezete|  0|  0|
03|064|4|Kompenzációs lista            |  3|Kiskőrösi Gazdak-Ipartestület |  1|  0|
03|064|4|Kompenzációs lista            |  4|KPCSZ                         |  1|  0|
03|064|4|Kompenzációs lista            |  5|MSz                           |  0|  0|
03|064|4|Kompenzációs lista            |  6|"Aroma" Egyesület             |  0|  0|
03|064|4|Kompenzációs lista            |  7|MSZP                          |  1|  0|
03|065|4|Kompenzációs lista            |  1|MDF                           |  0|  0|
03|065|4|Kompenzációs lista            |  2|LMP                           |  0|  0|
03|065|4|Kompenzációs lista            |  3|FIDESZ                        |  0|  0|
03|065|4|Kompenzációs lista            |  4|MSZP                          |  2|  0|
03|065|4|Kompenzációs lista            |  5|CIVIL MOZGALOM                |  1|  0|
03|065|4|Kompenzációs lista            |  6|JOBBIK                        |  1|  0|
03|066|4|Kompenzációs lista            |  1|Jövőnk Halas Egyesület        |  2|  0|
03|066|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  1|  0|
03|066|4|Kompenzációs lista            |  3|MSZP                          |  1|  0|
03|067|4|Kompenzációs lista            |  1|EKE-KVSZ                      |  1|  0|
03|067|4|Kompenzációs lista            |  2|FIDESZ                        |  1|  0|
03|067|4|Kompenzációs lista            |  3|JOBBIK                        |  0|  0|
03|067|4|Kompenzációs lista            |  4|PSZM                          |  1|  0|
03|078|4|Kompenzációs lista            |  1|FIDESZ                        |  1|  0|
03|078|4|Kompenzációs lista            |  2|MSZP                          |  0|  0|
03|078|4|Kompenzációs lista            |  3|IPARTESTÜLET LAJOSMIZSE       |  1|  0|
03|078|4|Kompenzációs lista            |  4|GAZDAKÖR                      |  1|  0|
03|111|4|Kompenzációs lista            |  1|MSZP                          |  1|  0|
03|111|4|Kompenzációs lista            |  2|MSz                           |  0|  0|
03|111|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
03|111|4|Kompenzációs lista            |  4|MAGYAR VÁLLALKOZÓ EGYSÉGPÁRT  |  0|  0|
03|111|4|Kompenzációs lista            |  5|FIDESZ                        |  0|  0|
03|111|4|Kompenzációs lista            |  6|NEMZETI FÓRUM                 |  1|  0|
04|003|4|Kompenzációs lista            |  1|JOBBIK                        |  0|  0|
04|003|4|Kompenzációs lista            |  2|BÉKÉSI KISGAZDAKÖR            |  0|  0|
04|003|4|Kompenzációs lista            |  3|FIDESZ                        |  2|  0|
04|003|4|Kompenzációs lista            |  4|MSZP                          |  1|  0|
04|003|4|Kompenzációs lista            |  5|JOBBOLDALI ÖSSZEFOGÁS         |  0|  0|
04|003|4|Kompenzációs lista            |  6|BÉKÉSI IPARTESTÜLET           |  0|  0|
04|004|4|Kompenzációs lista            |  1|JOBBIK                        |  2|  0|
04|004|4|Kompenzációs lista            |  2|LMP                           |  1|  0|
04|004|4|Kompenzációs lista            |  3|MSZP                          |  2|  0|
04|004|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
04|025|4|Kompenzációs lista            |  1|MSZP                          |  0|  0|
04|025|4|Kompenzációs lista            |  2|Körösök Vidékéért Egyesület   |  1|  0|
04|025|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
04|025|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  1|  0|
04|026|4|Kompenzációs lista            |  1|FIDESZ                        |  0|  0|
04|026|4|Kompenzációs lista            |  2|VÁROSBARÁTOK                  |  2|  0|
04|026|4|Kompenzációs lista            |  3|Körösök Völgye                |  1|  0|
04|026|4|Kompenzációs lista            |  4|JOBBIK                        |  0|  0|
04|026|4|Kompenzációs lista            |  5|GYULAI IPOSZ-ÖGYE             |  1|  0|
04|049|4|Kompenzációs lista            |  1|MSZP                          |  1|  0|
04|049|4|Kompenzációs lista            |  2|FIDESZ                        |  1|  0|
04|049|4|Kompenzációs lista            |  3|Városszépítő és Városvédő Egye|  0|  0|
04|049|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
04|059|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
04|059|4|Kompenzációs lista            |  2|MSZP                          |  3|  0|
04|059|4|Kompenzációs lista            |  3|MUNKÁSPÁRT                    |  0|  0|
04|059|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
04|059|4|Kompenzációs lista            |  5|OH NYUGDÍJASOK                |  0|  0|
04|063|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
04|063|4|Kompenzációs lista            |  2|MSZP                          |  1|  0|
04|063|4|Kompenzációs lista            |  3|"Ipartestület"                |  1|  0|
04|063|4|Kompenzációs lista            |  4|Nyugdíjas Egy.-FIDESZ         |  0|  0|
04|063|4|Kompenzációs lista            |  5|RODÉ                          |  0|  0|
04|066|4|Kompenzációs lista            |  1|NACSE                         |  1|  0|
04|066|4|Kompenzációs lista            |  2|MSZP                          |  1|  0|
04|066|4|Kompenzációs lista            |  3|FIDESZ                        |  0|  0|
04|066|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
05|075|4|Kompenzációs lista            |  1|Túl az Óperencián             |  1|  0|
05|075|4|Kompenzációs lista            |  2|FIDESZ                        |  1|  0|
05|075|4|Kompenzációs lista            |  3|MSZP                          |  0|  0|
05|075|4|Kompenzációs lista            |  4|JOBBIK                        |  0|  0|
05|075|4|Kompenzációs lista            |  5|Változás Edelény              |  1|  0|
05|153|4|Kompenzációs lista            |  1|FKE                           |  0|  0|
05|153|4|Kompenzációs lista            |  2|CIVIL MOZGALOM                |  0|  0|
05|153|4|Kompenzációs lista            |  3|FIDESZ                        |  2|  0|
05|153|4|Kompenzációs lista            |  4|JOBBIK                        |  1|  0|
05|153|4|Kompenzációs lista            |  5|MSZP                          |  1|  0|
05|153|4|Kompenzációs lista            |  6|LMP                           |  0|  0|
05|196|4|Kompenzációs lista            |  1|MSZP                          |  2|  0|
05|196|4|Kompenzációs lista            |  2|FIDESZ-KDNP                   |  0|  0|
05|196|4|Kompenzációs lista            |  3|JOBBIK                        |  1|  0|
05|202|4|Kompenzációs lista            |  1|SZEME                         |  0|  0|
05|202|4|Kompenzációs lista            |  2|MSZP                          |  4|  0|
05|202|4|Kompenzációs lista            |  3|FIDESZ-KDNP                   |  1|  0|
05|202|4|Kompenzációs lista            |  4|LMP                           |  0|  0|
05|202|4|Kompenzációs lista            |  5|JOBBIK                        |  3|  0|
05|226|4|Kompenzációs lista            |  1|MSZP                          |  1|  0|
05|226|4|Kompenzációs lista            |  2|Függetlenek V.E.              |  0|  0|
05|226|4|Kompenzációs lista            |  3|FIDESZ-KDNP                   |  1|  0|
05|226|4|Kompenzációs lista            |  4|MUNKÁSPÁRT                    |  0|  0|
05|226|4|Kompenzációs lista            |  5|JOBBIK                        |  2|  0|
05|226|4|Kompenzációs lista            |  6|ÉKE                           |  0|  0|
05|268|4|Kompenzációs lista            |  1|MDF                           |  0|  0|
05|268|4|Kompenzációs lista            |  2|MSZP                          |  1|  0|
05|268|4|Kompenzációs lista            |  3|CKDP                          |  0|  0|
05|268|4|Kompenzációs lista            |  4|T E S Z                       |  0|  0|
05|268|4|Kompenzációs lista            |  5|FIDESZ-KDNP                   |  1|  0|
05|268|4|Kompenzációs lista            |  6|SPÉTERI ZÖLDEK                |  1|  0|
05|268|4|Kompenzációs lista            |  7|JOBBIK                        |  0|  0|
05|274|4|Kompenzációs lista            |  1|FIDESZ                        |  0|  0|
05|274|4|Kompenzációs lista            |  2|JOBBIK                        |  0|  0|
05|274|4|Kompenzációs lista            |  3|Sárospataki Lokálpatrióták    |  1|  0|
05|274|4|Kompenzációs lista            |  4|Bodrogparti Athén Sárospatak  |  1|  0|
05|274|4|Kompenzációs lista            |  5|FÜGGETLENEK SÁROSPATAKÉRT EGY.|  1|  0|
05|274|4|Kompenzációs lista            |  6|MSZP                          |  0|  0|
05|276|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
05|276|4|Kompenzációs lista            |  2|FIDESZ                        |  0|  0|
