02|BARANYA                  |13116|BOLDOGASSZONYFA     |FÜGGETLEN JELÖLT              |       |006            
02|BARANYA                  |13116|BOLDOGASSZONYFA     |AGRÁRSZÖVETSÉG                |       |001            
02|BARANYA                  |33154|BÓLY                |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |33154|BÓLY                |KOLPING-FKGP                  |       |002            
02|BARANYA                  |33154|BÓLY                |FKGP - KOLPING                |       |001            
02|BARANYA                  |33154|BÓLY                |FÜGGETLEN JELÖLT              |Horvát |001            
02|BARANYA                  |33154|BÓLY                |MDF-FKGP                      |       |001            
02|BARANYA                  |33154|BÓLY                |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |001            
02|BARANYA                  |33154|BÓLY                |MDF-FKGP-KÖZSÉGVÉDÕK          |       |001            
02|BARANYA                  |33154|BÓLY                |SZDSZ-KOLPING-KÖZSÉGVÉDÕK-FKGP|       |001            
02|BARANYA                  |33154|BÓLY                |SZDSZ - KÖZSÉGVÉDÕK           |       |001            
02|BARANYA                  |33154|BÓLY                |KOLPING - SZDSZ               |       |001            
02|BARANYA                  |06725|BORJÁD              |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |14368|BOSTA               |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |13365|BOTYKAPETERD        |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |23162|BÜKKÖSD             |FÜGGETLEN JELÖLT              |       |009            
02|BARANYA                  |07533|BÜRÜS               |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |19901|CSÁNYOSZRÓ          |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |30614|CSARNÓTA            |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |21591|CSEBÉNY             |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |26082|CSERDI              |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |26082|CSERDI              |FÜGGETLEN JELÖLT              |Bolgár |001            
02|BARANYA                  |03896|CSERKÚT             |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |13851|CSERTÕ              |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |22576|CSONKAMINDSZENT     |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |07773|DENCSHÁZA           |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |11952|DINNYEBERKI         |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |32373|DIÓSVISZLÓ          |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |004            
02|BARANYA                  |32373|DIÓSVISZLÓ          |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |003            
02|BARANYA                  |28617|DRÁVACSEHI          |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |28121|DRÁVACSEPELY        |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |17419|DRÁVAFOK            |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |17419|DRÁVAFOK            |MAGYAR SZOCIALISTA PÁRT - AGRÁ|       |001            
02|BARANYA                  |32391|DRÁVAIVÁNYI         |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |002            
02|BARANYA                  |32391|DRÁVAIVÁNYI         |FÜGGETLEN JELÖLT              |       |001            
02|BARANYA                  |09159|DRÁVAKERESZTÚR      |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |09159|DRÁVAKERESZTÚR      |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |22734|DRÁVAPALKONYA       |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |003            
02|BARANYA                  |22734|DRÁVAPALKONYA       |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |12380|DRÁVAPISKI          |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |28608|DRÁVASZABOLCS       |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |30030|DRÁVASZERDAHELY     |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |21698|DRÁVASZTÁRA         |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |21698|DRÁVASZTÁRA         |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |002            
02|BARANYA                  |12566|DUNAFALVA           |FÜGGETLEN JELÖLT              |       |009            
02|BARANYA                  |09186|DUNASZEKCSÕ         |SZABAD DEMOKRATÁK SZÖVETSÉGE -|       |005            
02|BARANYA                  |09186|DUNASZEKCSÕ         |MDF-FKGP                      |       |002            
02|BARANYA                  |09186|DUNASZEKCSÕ         |FÜGGETLEN JELÖLT              |       |001            
02|BARANYA                  |09186|DUNASZEKCSÕ         |FÜGGETLEN JELÖLT              |Horvát |001            
02|BARANYA                  |28918|EGERÁG              |FÜGGETLEN JELÖLT              |       |006            
02|BARANYA                  |28918|EGERÁG              |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |16498|EGYHÁZASHARASZTI    |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |16498|EGYHÁZASHARASZTI    |MAGYAR SZOCIALISTA PÁRT       |       |001            
02|BARANYA                  |27401|EGYHÁZASKOZÁR       |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |27401|EGYHÁZASKOZÁR       |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |003            
02|BARANYA                  |06099|ELLEND              |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |25821|ERDÕSMÁROK          |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |25821|ERDÕSMÁROK          |AGRÁRSZÖVETSÉG                |       |001            
02|BARANYA                  |18704|ERDÕSMECSKE         |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |13499|ERZSÉBET            |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |17835|FAZEKASBODA         |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |04543|FEKED               |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |13286|FELSÕEGERSZEG       |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |08819|FELSÕSZENTMÁRTON    |FÜGGETLEN JELÖLT              |       |009            
02|BARANYA                  |08819|FELSÕSZENTMÁRTON    |MAGYARORSZÁGI HORVÁTOK SZÖVETS|Görög  |001            
02|BARANYA                  |07560|GARÉ                |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |07560|GARÉ                |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |002            
02|BARANYA                  |12751|GERDE               |FKGP-MDF-KDNP                 |       |002            
02|BARANYA                  |12751|GERDE               |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |12751|GERDE               |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |001            
02|BARANYA                  |13347|GERÉNYES            |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |02857|GERESDLAK           |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |02857|GERESDLAK           |FÜGGETLEN JELÖLT              |Horvát |001            
02|BARANYA                  |18333|GILVÁNFA            |TARTS VELÜNK EGYESÜLET        |Bolgár |005            
02|BARANYA                  |18333|GILVÁNFA            |FÜGGETLEN JELÖLT              |       |001            
