02|BARANYA                  |KÉKESD              |    |SOÓS ENDRE                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÉMES               |    |KISS KÁLMÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KEMSE               |    |TÖMÖS MIHÓ LÁSZLÓ                   |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KESZÜ               |DR. |ESKÜDT BÉLA                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÉTUJFALU           |    |FARKAS JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KIRÁLYEGYHÁZA       |    |VASS NÁNDOR                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISASSZONYFA        |    |BITE GYULA                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISBESZTERCE        |    |VANCSA JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISBUDMÉR           |    |NOVACSEK JÁNOS                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISDÉR              |DR. |ÁCS IMRE                            |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISHAJMÁS           |    |GYENES-JÓNÁS GYULA                  |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISHARSÁNY          |    |CSŐSZI SÁNDOR                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISHEREND           |    |VÖLGYI SÁNDOR                       |FÜGGETLEN KISGAZDA FÖLDMUNKÁS                             
02|BARANYA                  |KISJAKABFALVA       |    |SOMOGYI JÓZSEF                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISKASSA            |    |HORNUNG ERVIN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISLIPPÓ            |    |SZUHÁNY LÁSZLÓ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISNYÁRÁD           |    |GODINA GYÖRGY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISSZENTMÁRTON      |    |DARABOS JENŐ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISTAMÁSI           |ID. |SZÁSZ JÓZSEF                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISTAPOLCA          |    |POTHORSZKI JÓZSEF                   |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISTÓTFALU          |    |TARANYI ÁDÁM                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KISVASZAR           |    |MIKLÓS JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KOMLÓ               |    |TÓTH JÓZSEF                         |NEM ISMERT                                                
02|BARANYA                  |KÓRÓS               |    |HORVÁTH SÁNDOR                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KOVÁCSHIDA          |    |SZALAI JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KOVÁCSSZÉNÁJA       |    |HAISER JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KOZÁRMISLENY        |    |FERENC MIKLÓS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÖBLÉNY             |    |VÉGH ISTVÁNNÉ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÖKÉNY              |    |STANDOVÁR JÁNOS                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÖLKED              |    |SZŰCS LAJOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KŐVÁGÓSZŐLŐS        |    |MAURER PÉTER                        |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |KŐVÁGÓTŐTTŐS        |    |CSÖRGEI GÉZA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LANYCSOK            |    |HADRA JÓZSEF                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LAPÁNCSA            |    |KIEFER FERENC                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LIGET               |    |GEISZ EGON                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LIPPÓ               |    |HONVÉD FERENC                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LIPTÓD              |    |KRIEGSHAUSER JÁNOSNÉ                |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LOTHÁRD             |    |CSOBÁN FERENC                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LOVÁSZHETÉNY        |    |ÁMAN ANDRÁS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |LÚZSOK              |    |SIMON LÁSZLÓ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MÁGOCS              |    |SZIVERI MÁTYÁSNÉ                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARBÓLY          |    |KORSÓS ERNŐ                         |FÜGGETLEN KISGAZDA FÖLDMUNKÁS                             
02|BARANYA                  |MAGYAREGREGY        |    |FÓRIS ISTVÁNNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARHERTELEND     |    |BAKÓ ISTVÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARLUKAFA        |    |KÉKES ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARMECSKE        |    |BALOGH IMRE                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARSARLÓS        |    |PATAKI ZOLTÁN                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARSZÉK          |    |LAJOS JÁNOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAGYARTELEK         |    |TOLNAI JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MAJS                |    |VIDA ZSIGMOND                       |MAGYAR DEMOKRATA FÓRUM                                    
02|BARANYA                  |MARÁZA              |    |SCHENK JÁNOS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MÁRFA               |    |KORSÓS CSABA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MÁRIAKÉMÉND         |    |NÉMETH LÁSZLÓ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MARKÓC              |    |KOVÁCS RÓZSA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MARÓCSA             |    |KISS JÓZSEF                         |FIATAL DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |MÁROK               |    |SCHUBERT LÁSZLÓ                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MARTONFA            |    |MÉSZÁROS SÁNDOR                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MATTY               |    |BALOGH ANTAL                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MÁZASZÁSZVÁR        |    |PÜSKI MÁTYÁS                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MECSEKNÁDASD        |    |SZIGRISZT JÁNOS                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MECSEKPÖLÖSKE       |    |BÖDŐ JÓZSEF                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MEKÉNYES            |    |SISKA ZOLTÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MERENYE             |    |HORVÁTH JÓZSEF                      |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |MEZŐD               |DR. |KÓBOR GYULA                         |NEM ISMERT                                                
02|BARANYA                  |MINDSZENTGODISA     |    |BIMBÓ ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MOHÁCS              |    |KUTI ISTVÁN                         |NEM ISMERT                                                
02|BARANYA                  |MOLVÁNY             |    |NAGY SÁNDOR                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |MONYORÓD            |    |EMBER JÓZSEF                        |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |MOZSGÓ              |    |KULA JÓZSEFNÉ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYBUDMÉR          |    |FITT JÓZSEF                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYCSÁNY           |    |HEGYI LÁSZLÓ BÉLA                   |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |NAGYHAJMÁS          |    |KÜRTÖS CSABA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYHARSÁNY         |    |BALASSA GYULA                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYKOZÁR           |    |BAKONYI JÁNOS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYNYÁRÁD          |    |HARGITAI JÁNOS                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYPALL            |    |NIDLINGNÉ GRÁTZ ERIKA               |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYPETERD          |    |KELEMEN LÁSZLÓ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYTÓTFALU         |    |PÜSPÖKI SÁNDOR                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NAGYVÁTY            |    |KIS TÓTH KÁLMÁN                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |NEMESKE             |DR. |GYURÓ BÉLA                          |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |NYUGOTSZENTERZSÉBET |    |KÓRA DEZSŐ                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ÓBÁNYA              |    |DANI FERENC                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ÓCSÁRD              |    |SZILÁGYI IMRE                       |MAGYAR SZOCIALISTA MUNKÁSPÁRT                             
02|BARANYA                  |ÓFALU               |    |ANGYAL LAJOSNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |OKORÁG              |    |KOVÁCS GYÖRGY                       |FÜGGETLEN JELÖLT                                          
