17| 3|Magyar Szocialista Párt                                                                     |0052643|01|MSZP                                                        
17| 4|MIÉP- Jobbik a Harmadik Út                                                                  |0002383|01|MIÉP-Jobbik                                                 
17| 5|Magyar Demokrata Fórum                                                                      |0007751|01|MDF                                                         
17| 6|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0060592|02|FIDESZ,KDNP                                                 
17| 7|Kereszténydemokratapárt Keresztényszociális Centrum Összefogás                              |0000270|01|KERESZTÉNYDEMOKRATAPÁRT                                     
18| 1|SZABAD DEMOKRATÁK SZÖVETSÉGE- A MAGYAR LIBERÁLIS PÁRT                                       |0008437|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
18| 2|Magyar Szocialista Párt                                                                     |0052749|01|MSZP                                                        
18| 3|FIDESZ-MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA  NÉPPÁRT                                |0075239|02|FIDESZ,KDNP                                                 
18| 4|MAGYAR DEMOKRATA FÓRUM                                                                      |0008554|01|MDF                                                         
18| 5|MIÉP-JOBBIK A HARMADIK ÚT                                                                   |0002697|01|MIÉP-Jobbik                                                 
18| 6|KERESZTÉNYDEMOKRATAPÁRT - KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                            |0000304|01|KERESZTÉNYDEMOKRATAPÁRT                                     
19| 1|MAGYAR SZOCIALISTA PÁRT                                                                     |0080545|01|MSZP                                                        
19| 2|FIDESZ- MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT                                |0094437|02|FIDESZ,KDNP                                                 
19| 3|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0011301|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
19| 4|Magyar Demokrata Fórum                                                                      |0011206|01|MDF                                                         
19| 5|MIÉP-Jobbik a Harmadik Út                                                                   |0003461|01|MIÉP-Jobbik                                                 
19| 6|Magyar Kommunista Munkáspárt                                                                |0001208|01|MUNKÁSPÁRT                                                  
20| 1|MIÉP-Jobbik a Harmadik Út                                                                   |0003276|01|MIÉP-Jobbik                                                 
20| 2|Magyar Demokrata Fórum                                                                      |0009324|01|MDF                                                         
20| 3|Magyar Szocialista Párt                                                                     |0059647|01|MSZP                                                        
20| 4|MCF Roma Összefogás Párt                                                                    |0000199|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
20| 5|Szabad Demokraták Szövetsége a Magyar Liberális Párt                                        |0008131|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
20| 6|FIDESZ - Magyar Polgári Szövetség Kereszténydemokrata Néppárt                               |0079524|02|FIDESZ,KDNP                                                 
