01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00056425|06|    VÁKÁR TIBOR LÁSZLÓ                  |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |3|nem nyert                     |00000477
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00044787|01|    DARÓCZI TIBOR                       |000000|FÜGGETLEN                     |1|nyert                         |00000488
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00060581|02|    DIÓSI ÁGNES                         |010138|TERV.ROMA ÖNKORMÁNYZATI SZERV |1|nyert                         |00000628
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00044297|03|    FARKAS ISTVÁN                       |000000|FÜGGETLEN                     |1|nyert                         |00000313
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00020388|04|    HOMONNAI ANDRÁS                     |010138|TERV.ROMA ÖNKORMÁNYZATI SZERV |1|nyert                         |00000321
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00077179|05|    LAKNÉ BOTOS IBOLYA                  |010138|TERV.ROMA ÖNKORMÁNYZATI SZERV |1|nyert                         |00000359
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00047674|06|    NAGY IGNÁC                          |000081|MSZRSZ                        |3|nem nyert                     |00000264
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00029591|07|    RADULY ISTVÁN                       |010138|TERV.ROMA ÖNKORMÁNYZATI SZERV |3|nem nyert                     |00000257
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00072336|08|    ROSTÁS GYULÁNÉ BALOGH MÁRIA         |000086|CMVOSZ                        |3|nem nyert                     |00000215
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00036558|09|    SZOMORA PÁL                         |010138|TERV.ROMA ÖNKORMÁNYZATI SZERV |3|nem nyert                     |00000227
01|BUDAPEST  |006|BUDAPEST          06|00000002|CIGÁNY                        |00045077|10|    VÁRADI ELEMÉR                       |000082|"R.E." CIGÁNYZENÉSZ SZÖVETSÉG |3|nem nyert                     |00000277
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00051199|01|    BŐSZ GÁBOR                          |010117|DEUTSCHER KULTURVEREIN        |1|nyert                         |00001943
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00011502|02|DR. HAMBUCH VENDEL                      |000099|NÉMET KULTÚREGYESÜLET BUDAPEST|1|nyert                         |00001619
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00061870|03|DR. HAMBUCH VENDELNÉ                    |000099|NÉMET KULTÚREGYESÜLET BUDAPEST|1|nyert                         |00001099
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00001098|04|DR. HOLLÓS JENŐ RUDOLF                  |010117|DEUTSCHER KULTURVEREIN        |1|nyert                         |00001439
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00071575|05|    KELLERNÉ MÁRTON ESZTER              |010117|DEUTSCHER KULTURVEREIN        |1|nyert                         |00001390
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00045872|06|    STEMLER MIHÁLY                      |010117|DEUTSCHER KULTURVEREIN        |3|nem nyert                     |00000826
01|BUDAPEST  |006|BUDAPEST          06|00000006|NÉMET                         |00035735|07|    ZETTISCH NÁNDOR                     |010117|DEUTSCHER KULTURVEREIN        |3|nem nyert                     |00000738
01|BUDAPEST  |006|BUDAPEST          06|00000007|ÖRMÉNY                        |00076950|01|    AVEDIKIAN VIKTÓRIA                  |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000379
01|BUDAPEST  |006|BUDAPEST          06|00000007|ÖRMÉNY                        |00024658|02|    BUSLIG GYÖRGY                       |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000271
01|BUDAPEST  |006|BUDAPEST          06|00000007|ÖRMÉNY                        |00029005|03|    BUSLIG LÁSZLÓ                       |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000249
01|BUDAPEST  |006|BUDAPEST          06|00000007|ÖRMÉNY                        |00059170|04|    DIRAMERJÁN ARTIN                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000279
