01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |079|    CSÉCSEI BÉLA                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |080|    BAJOR ZOLTÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |081|    VERES LÁSZLÓ                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |082|    SOSTORICS JÓZSEF                    |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |083|    NAGY LÁSZLÓ NÁNDOR                  |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |084|    ÁDLER GYÖRGY                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |085|    MOROVIÁN FERENC                     |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |086|    BORUZS ANDRÁS                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |087|    VIRÁG ISTVÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |088|    TÖLGYESI MIKLÓS                     |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |089|    BENES GÉZA                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |090|    TŐRY KLÁRA                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |091|    GÁLFI LÁSZLÓ                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |092|    KILLIK JENŐ                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |093|    MOLNÁR KATALIN                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |094|    PALOTÁS IMRE                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |095|DR. BÁTORFI ATTILA                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |096|    MESSEL GÁSPÁR                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |097|    CZUNYI LÁSZLÓ                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |098|    ORBÁN PÁL                           |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |099|    KASSZIÁN KÁROLY                     |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |100|    KOVÁCS KÁLMÁN                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |001|DR. BARÁTH ETELE                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |002|DR. AJKAY ZOLTÁN                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |003|DR. SCHIFFER JÁNOS                      |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |004|    KARDOS PÉTER                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |005|DR. HEGYESINÉ ORSÓS ÉVA                 |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |006|    SOMLYÓDY CSABA                      |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |007|    MOSKOVITS PÉTER                     |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |008|    BUBLA GYULA                         |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |009|    MITUS ZSUZSANNA                     |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |010|    RUSZNÁK IMRE                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |011|    EGERFAI JÓZSEF                      |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |012|DR. PÁLINSZKI ANTAL                     |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |013|    GÁBOR JÓZSEF                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |014|    GYURICZÁNÉ NÉMETH ERZSÉBET          |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |015|DR. GARAMSZEGI GÁBOR                    |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |016|    SZABÓ VILMOS                        |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |017|DR. GERÖ GÁBOR                          |1|nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |018|    BÁNSÁGHI TAMÁS                      |1|nyert
