05|BORSOD-A-Z|039|BORSODBÓTA          |000002|CIGÁNY                        |1|eredményes               |00000372|000003|00000219
05|BORSOD-A-Z|049|BŐCS                |000002|CIGÁNY                        |1|eredményes               |00001808|000005|00000605
05|BORSOD-A-Z|050|BÜKKARANYOS         |000002|CIGÁNY                        |1|eredményes               |00000398|000003|00000214
05|BORSOD-A-Z|053|BÜKKSZENTKERESZT    |000011|SZLOVÁK                       |1|eredményes               |00001624|000005|00000494
05|BORSOD-A-Z|062|CSOBÁD              |000002|CIGÁNY                        |1|eredményes               |00000457|000003|00000285
05|BORSOD-A-Z|069|DOMAHÁZA            |000002|CIGÁNY                        |1|eredményes               |00000638|000003|00000322
05|BORSOD-A-Z|072|EDELÉNY             |000002|CIGÁNY                        |1|eredményes               |00003941|000005|00001969
05|BORSOD-A-Z|075|EMŐD                |000002|CIGÁNY                        |1|eredményes               |00000429|000005|00000150
05|BORSOD-A-Z|075|EMŐD                |000005|LENGYEL                       |1|eredményes               |00003220|000005|00001012
05|BORSOD-A-Z|076|ENCS                |000002|CIGÁNY                        |1|eredményes               |00002951|000005|00001215
05|BORSOD-A-Z|087|FELSŐREGMEC         |000002|CIGÁNY                        |1|eredményes               |00000185|000003|00000083
05|BORSOD-A-Z|090|FELSŐZSOLCA         |000002|CIGÁNY                        |1|eredményes               |00003689|000005|00001308
05|BORSOD-A-Z|093|FORRÓ               |000002|CIGÁNY                        |1|eredményes               |00002591|000005|00000664
05|BORSOD-A-Z|094|FULÓKÉRCS           |000002|CIGÁNY                        |1|eredményes               |00000263|000003|00000116
05|BORSOD-A-Z|095|FÜZÉR               |000011|SZLOVÁK                       |1|eredményes               |00000535|000003|00000249
05|BORSOD-A-Z|107|GIRINCS             |000002|CIGÁNY                        |1|eredményes               |00000609|000003|00000293
05|BORSOD-A-Z|110|GÖNC                |000002|CIGÁNY                        |1|eredményes               |00001179|000005|00000651
05|BORSOD-A-Z|113|HALMAJ              |000002|CIGÁNY                        |1|eredményes               |00001181|000005|00000460
05|BORSOD-A-Z|115|HANGONY             |000002|CIGÁNY                        |1|eredményes               |00001336|000005|00000495
05|BORSOD-A-Z|121|HEJŐKERESZTÚR       |000002|CIGÁNY                        |1|eredményes               |00000445|000003|00000242
05|BORSOD-A-Z|123|HEJŐPAPI            |000002|CIGÁNY                        |1|eredményes               |00000613|000003|00000292
05|BORSOD-A-Z|129|HERNÁDKÉRCS         |000002|CIGÁNY                        |1|eredményes               |00000112|000003|00000088
05|BORSOD-A-Z|130|HERNÁDNÉMETI        |000002|CIGÁNY                        |1|eredményes               |00002635|000005|00000950
05|BORSOD-A-Z|131|HERNÁDPETRI         |000002|CIGÁNY                        |1|eredményes               |00000175|000003|00000098
05|BORSOD-A-Z|132|HERNÁDSZENTANDRÁS   |000002|CIGÁNY                        |1|eredményes               |00000167|000003|00000098
05|BORSOD-A-Z|133|HERNÁDSZURDOK       |000002|CIGÁNY                        |1|eredményes               |00000115|000003|00000057
05|BORSOD-A-Z|134|HERNÁDVÉCSE         |000002|CIGÁNY                        |1|eredményes               |00000734|000003|00000357
05|BORSOD-A-Z|136|HIDASNÉMETI         |000002|CIGÁNY                        |1|eredményes               |00000557|000003|00000390
05|BORSOD-A-Z|139|HOMROGD             |000002|CIGÁNY                        |1|eredményes               |00000737|000003|00000452
05|BORSOD-A-Z|149|KARCSA              |000002|CIGÁNY                        |1|eredményes               |00001457|000005|00000589
05|BORSOD-A-Z|151|KAZINCBARCIKA       |000002|CIGÁNY                        |1|eredményes               |00006789|000005|00004114
05|BORSOD-A-Z|155|KÁZSMÁRK            |000002|CIGÁNY                        |1|eredményes               |00000473|000003|00000287
05|BORSOD-A-Z|156|KELEMÉR             |000002|CIGÁNY                        |1|eredményes               |00000331|000003|00000144
05|BORSOD-A-Z|157|KENÉZLŐ             |000002|CIGÁNY                        |1|eredményes               |00001032|000005|00000427
