1|01|BUDAPEST  |19|03|    |FÖLDES ERNŐ ISTVÁN                  |00001889|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |19|04|    |HORN GÁBOR                          |00007501|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |19|05|    |LEHOFER PÁL                         |00001627|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |19|06|    |PÁL LÁSZLÓ                          |00013666|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |19|07|    |SZELÉNYI ZSUZSANNA                  |00002669|FIDESZ                                                                    
1|01|BUDAPEST  |20|01|    |ANTALÓCZY ATTILA                    |00012139|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |20|02|    |FODOR GUSZTÁV                       |00004164|MDF                                                                       
1|01|BUDAPEST  |20|03|DR. |GYŐRIVÁNYI SÁNDOR                   |00002011|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |20|04|DR. |ILLÉS GYÖRGY                        |00000427|NEMZETI DEMOKRATÁK                                                        
1|01|BUDAPEST  |20|05|    |KOLLÁT PÁL                          |00001069|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |20|06|    |RAJK LÁSZLÓ                         |00006221|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |20|07|    |TÓTH JÓZSEF                         |00001527|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |20|08|DR. |WESZELOVSZKY LAJOS ZOLTÁN           |00002153|FIDESZ                                                                    
1|01|BUDAPEST  |21|01|DR. |BARÁTH ETELE                        |00011638|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |21|02|    |FÜZY MÁRTONNÉ                       |00007492|MDF                                                                       
1|01|BUDAPEST  |21|03|    |HARRACH PÉTER                       |00003324|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |21|04|    |HORVÁTH FERENC                      |00001622|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |21|05|    |KASZÁS IVÁN                         |00000346|MSZDP                                                                     
1|01|BUDAPEST  |21|06|DR. |MAGYAR BÁLINT                       |00010123|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |21|07|DR. |SÁSKA GÉZA                          |00001619|FIDESZ                                                                    
1|01|BUDAPEST  |21|08|    |SZABADFÖLDI ISTVÁN                  |00000845|LPSZ VÁLLALKOZÓK PÁRTJA                                                   
1|01|BUDAPEST  |21|09|    |ZINNER GYÖRGY                       |00001306|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |22|01|DR. |DOBOS KRISZTINA                     |00006195|MDF                                                                       
1|01|BUDAPEST  |22|02|DR. |HAJDÚ JÓZSEF                        |00001639|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |22|03|    |KESZTHELYI ZOLTÁN                   |00002268|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |22|04|DR. |PETŐ IVÁN                           |00014384|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |22|05|    |PÉCSI ILDIKÓ                        |00014043|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |22|06|DR. |SZAKOLCZAI GYÖRGY                   |00002901|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |23|01|    |BIKKI GÁBOR                         |00000869|LPSZ VÁLLALKOZÓK PÁRTJA                                                   
1|01|BUDAPEST  |23|02|    |GEREBEN FERENC                      |00003828|MDF                                                                       
1|01|BUDAPEST  |23|03|    |HAJDU LÁSZLÓ                        |00014998|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |23|04|DR. |HORVÁTH CSABA                       |00001811|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |23|05|    |KOVÁCS ATTILA                       |00001742|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |23|06|    |MAJOR SÁNDOR                        |00002219|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |23|07|    |MÉCS IMRE                           |00008290|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |23|08|    |RÉDNER ERNŐ                         |00001039|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |23|09|    |SZADAI KÁROLY                       |00002169|FIDESZ                                                                    
1|01|BUDAPEST  |24|01|DR. |GAÁL CSILLA                         |00001728|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |24|02|DR. |ILKEI CSABA                         |00004193|FÜGGETLEN JELÖLT                                                          
1|01|BUDAPEST  |24|03|    |KOVÁCS ISTVÁNNÉ                     |00000923|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |24|04|    |PALOTÁS JÁNOS                       |00006207|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |24|05|DR. |POLT PÉTER                          |00002854|FIDESZ                                                                    
1|01|BUDAPEST  |24|06|DR. |SIPOS ÁRPÁD                         |00002252|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |24|07|DR. |SZABÓ LAJOS MÁTYÁS                  |00010007|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |24|08|DR. |TÓTH LÁSZLÓ                         |00005900|MDF                                                                       
1|01|BUDAPEST  |24|09|    |TREER ANDRÁS                        |00002132|FÜGGETLEN JELÖLT                                                          
1|01|BUDAPEST  |24|10|    |VÉG GÁBOR                           |00005300|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |25|01|    |BODNÁR LÁSZLÓ                       |00001845|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |25|02|    |CSÁSZÁR JÓZSEF                      |00002822|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |25|03|    |CSORBA BÉLA                         |00002663|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |25|04|DR. |FARKAS TIBOR                        |00004843|MDF                                                                       
1|01|BUDAPEST  |25|05|DR. |HOFFMANN ATTILA                     |00014676|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |25|06|    |KOLTAI ILDIKÓ                       |00002683|FIDESZ                                                                    
1|01|BUDAPEST  |25|07|    |MÉSZÁROS ILONA                      |00000476|ZÖLD ALTERNATÍVA                                                          
1|01|BUDAPEST  |25|08|DR. |MOLNÁR PÉTER                        |00008760|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |25|09|    |TUKACS GYÖRGYNÉ                     |00000834|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |25|10|    |ZEMPLÉNYI SOMA                      |00001540|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |26|01|DR. |BAÁN LÁSZLÓ                         |00001947|FIDESZ                                                                    
1|01|BUDAPEST  |26|02|    |BALOGH IMRE                         |00002336|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |26|03|    |BÉKI GABRIELLA                      |00005349|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |26|04|    |BORZA JÓZSEF                        |00001577|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |26|05|    |HUNYADI ISTVÁN                      |00003672|MDF                                                                       
1|01|BUDAPEST  |26|06|DR. |KATONA BÉLA                         |00012882|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |26|07|    |KEREZSI LÁSZLÓ                      |00000692|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |26|08|    |SOÓS PÉTER                          |00000912|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |26|09|    |VÉNUSZ GYULA                        |00001861|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |27|01|    |AGÓCS SÁNDOR                        |00002214|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |27|02|DR. |BANK JÓZSEF                         |00000910|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |27|03|    |CSELOVSZKI ZOLTÁN                   |00002994|FIDESZ                                                                    
1|01|BUDAPEST  |27|04|    |DEMETER ERVIN                       |00004675|MDF                                                                       
1|01|BUDAPEST  |27|05|    |ERDÉLYI LÁSZLÓ                      |00007100|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |27|06|    |FRIK LÁSZLÓ                         |00002959|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |27|07|    |KLUTSIK GYÖRGY                      |00000188|NEM. PÁRT                                                                 
1|01|BUDAPEST  |27|08|    |MAGYAR JÓZSEF                       |00001996|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |27|09|DR. |PALOTÁS GÁBOR                       |00001229|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |27|10|    |SZILI SÁNDOR                        |00014449|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |28|01|    |BURÁNY SÁNDOR                       |00013374|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |28|02|DR. |ENDRÉDY ISTVÁN                      |00002670|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |28|03|DR. |FODOR ANDRÁS      ATTILA            |00004598|MDF                                                                       
