1|01|BUDAPEST                 |14|DR. |BARANYAI PÁL                                                |00002029|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |14|DR. |EGRI TAMÁS                                                  |00004172|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |14|    |DOBOS LÁSZLÓ                                                |00010709|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |14|    |HORVÁT ANTAL                                                |00007456|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |14|DR. |HÁRS LÍDIA                                                  |00002208|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |14|    |HARTYÁNYI ZSUZSA                                            |00003786|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |15|DR. |GRIGÁSSY LÁSZLÓ                                             |00003023|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |15|DR. |BIACS PÉTER                                                 |00001472|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |15|    |MARKOS GYÖRGY                                               |00004190|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |15|    |BENYOVSZKY GÁBOR                                            |00002047|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |15|DR. |CSAPODI MIKLÓS                                              |00010685|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |15|DR. |HACK PÉTER                                                  |00007111|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |15|DR. |FODOR GÁBOR                                                 |00005877|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |16|    |KŐSZEG FERENC                                               |00007886|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |16|DR. |PERJÉS GÁBOR                                                |00010865|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |16|DR. |GRÁD JÁNOS                                                  |00001085|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |16|    |HIRSCHLER TAMÁS                                             |00001717|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |16|    |SALAMIN ANDRÁS                                              |00001602|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |16|DR. |HELLNER KÁROLY                                              |00004542|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |16|    |BATÓ ANDRÁS                                                 |00002450|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |16|    |KISS JÁNOS                                                  |00001146|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |16|    |DEUTSCH TAMÁS                                               |00005803|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |17|    |BAUER TAMÁS                                                 |00007819|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |17|DR. |KÁTAY ZOLTÁN                                                |00010000|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |17|    |SASVÁRI SZILÁRD                                             |00003633|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |17|    |MONOSTORI ILDIKÓ                                            |00003869|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |18|DR. |BALOGH GYÖRGY                                               |00001760|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |18|DR. |ERDEI LÁSZLÓ                                                |00001938|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |18|DR. |SURJÁN LÁSZLÓ                                               |00006430|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |18|    |RÁDAY MIHÁLY                                                |00016370|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |18|    |FÁBRY BÉLA                                                  |00006202|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |18|    |HORVÁTH BÉLA                                                |00010284|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |18|    |STIEDL GÁBOR                                                |00003657|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |19|    |DARVAS IVÁN                                                 |00011696|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |19|    |KOVÁCS KÁROLY                                               |00002139|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |19|    |CSÁJI ATTILA                                                |00006976|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |19|DR. |KISS ISTVÁN                                                 |00006305|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |19|    |BUDAVÁRI MIKLÓS                                             |00002533|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |19|    |CSATÁRI ZOLTÁN                                              |00003351|FIATAL DEMOKRATÁK SZÖVETSÉGE  
